scheme_name,category,sub_category,risk_level,rating,expense_ratio,fund_size_cr,fund_age_yr,sharpe,alpha,beta,returns_1yr,returns_3yr,returns_5yr,min_sip
Mirae Asset Large Cap Fund,Equity,Large Cap Mutual Funds,6,3,0.53,32910.0,10,1.36,0.41,0.92,0.6,25.3,12.1,1000
Mirae Asset Midcap Fund,Equity,Mid Cap Mutual Funds,6,4,0.58,8753.0,4,1.76,2.67,0.92,1.2,35.0,8.9,1000
Mirae Asset Money Market Fund,Debt,Money Market Funds,2,3,0.25,59.0,2,-,-,-,5.3,18.5,8.9,1000
Mirae Asset Overnight Fund,Debt,Overnight Mutual Funds,1,5,0.11,632.0,3,0.2,0.67,0.45,5.4,3.9,8.9,1000
Mirae Asset Savings Fund,Debt,Low Duration Funds,2,3,0.37,606.0,10,1.47,2.65,1.03,5.2,5.6,5.9,1000
Mirae Asset Short Term Fund,Debt,Short Duration Funds,2,3,0.31,406.0,5,1.05,4.26,2.04,4.5,6.1,6.7,1000
Mirae Asset Tax Saver Fund,Equity,ELSS Mutual Funds,6,5,0.54,14043.0,7,1.52,2.58,0.98,0.6,30.3,15.3,500
Mirae Asset Ultra Short Duration Fund,Debt,Ultra Short Duration Funds,2,3,0.29,284.0,2,-,-,-,5.5,18.5,8.9,1000
Motilal Oswal Balance Advantage Fund,Hybrid,Dynamic Asset Allocation or Balanced Advantage,6,1,1.19,667.0,6,0.62,-4.94,0.62,0.3,9.9,5.6,500
Motilal Oswal Equity Hybrid Fund,Hybrid,Aggressive Hybrid Mutual Funds,6,3,0.94,385.0,5,1.16,-1.13,0.82,1.7,32.4,13.3,500
Motilal Oswal Flexi Cap Fund,Equity,Flexi Cap Funds,6,1,0.97,8332.0,9,0.9,-6.29,0.86,-1.6,16.4,4.9,500
Motilal Oswal Focused Fund,Equity,Focused Funds,6,2,1.0,1643.0,10,1.01,-4.81,0.94,2.6,20.4,10.6,500
Motilal Oswal Large and Midcap Fund,Equity,Large & Mid Cap Funds,6,3,0.73,1415.0,3,1.55,5.27,0.85,10.7,28.9,8.9,500
Motilal Oswal Liquid Fund,Debt,Liquid Mutual Funds,2,1,0.21,484.0,4,-0.08,0.88,0.68,5.2,3.8,8.9,500
