schemeCode,schemeName,isinGrowth,isinDivReinvestment
107076,ING Fixed Maturity Fund - Series XXXVI - Retail Plan - Growth Option,,
107079,ING Fixed Maturity Fund - Series XXXVI - Institutional Plan - Growth Option,,
107088,UTI Fixed  Income Interval Fund ( Half Yearly Plan - I) - Regular Plan - Growth Option,,
107091,UTI Fixed  Income Interval Fund ( Half Yearly Plan - I) - Instn Growth Option,,
107093,Kotak Quarterly Interval Plan Series 3 - Growth,,
107094,Religare Quarterly Interval Fund - Plan B -Growth,,
107096,DSP BlackRock FMP - 3M - Series 1 - Regular Plan - Growth,,
107098,DSP BlackRock FMP - 3M - Series 1 - Institutional Plan - Growth,,
107102,Birla Sun Life Fixed Term Plan - Series AE - RETAIL GROWTH,,
107103,Birla Sun Life Fixed Term Plan - Series AE- INSTITUTIONAL GROWTH,,
107104,Birla Sun Life Quarterly Interval Fund - Series 2 GROWTH,,
107115,UTI Fixed Maturity Plan Quarterly November 2007 Series - II - Growth Option,,
107116,UTI Fixed Maturity Plan Quarterly November 2007 Series - II - Instn. Growth Option,,
107120,Tata Fixed Income Portfolio Fund - Scheme A1 - Institutional Plan - Growth,,
107121,Tata Fixed Income Portfolio Fund Scheme A1 Plan A - Growth,,
107123,Tata Fixed Income Portfolio Fund Scheme A2 Plan A - Growth,,
107126,Tata Fixed Income Portfolio Fund - Scheme A2 - Regular Plan - Growth,,
107127,Tata Fixed Income Portfolio Fund Scheme A3 Regular Plan  - Growth,,
107129,Tata Fixed Income Portfolio Fund - Scheme A3 - Regular Plan - Growth,,
107134,ICICI Prudential FMP series 39 - 6 Mths Plan A - Retail Growth Option,,
107139,ICICI Prudential Interval Fund II - Quarterly Interval Plan D - Retail Growth,,
107141,Tata Fixed Income Portfolio Fund Scheme B2 Regular Plan - Growth,,
107146,Tata Fixed Income Portfolio Fund - Scheme B2 - Regular Plan - Growth,,
107147,Tata Fixed Income Portfolio Fund Scheme B3 Regular Plan - Growth,,
107150,Tata Fixed Income Portfolio Fund - Scheme B3 - Regular Plan - Growth,,
107159,Tata Fixed Income Portfolio Fund Scheme C2 Regular Plan - Growth,,
107162,Tata Fixed Income Portfolio Fund - Scheme C2 - Regular Plan - Growth,,
107165,Tata Fixed Income Portfolio Fund Scheme C3 Regular Plan - Growth,,
107168,Tata Fixed Income Portfolio Fund - Scheme C3 - Regular Plan - Growth,,
107171,DWS FIXED TERM FUND SERIES 42- INSTITUTIONAL GROWTH,,
107173,DWS FIXED TERM FUND SERIES 42- REGULAR GROWTH,,
107176,Birla Sun Life Quarterly Interval Fund - Series 1 GROWTH,,
107182,ICICI Prudential FMP series 42 - 18 Mths Plan - Retail Growth Option,,
107185,ICICI Prudential FMP series 42 - 13 Mths Plan A - Institutional Growth Option,,
107186,ICICI Prudential FMP series 42 - 13 Mths Plan A - Retail Growth Option,,
107187,Reliance Fixed Horizon Fund IV Series 7 Retail Plan Growth Option,,
107188,Reliance Fixed Horizon Fund IV Series 7 Institutional Plan Growth Option,,
107192,Sahara FMP 3 Months Series - 2 - Growth Option,,
107193,UTI Fixed Income Interval Fund - Monthly Interval Plan II-Regular Plan - Growth Option,,
107196,UTI Fixed Income Interval Fund - Monthly Interval Plan II-Instn Growth Option,,
107198,Religare Quarterly Interval Fund - Plan C -Growth,,
107199,Religare Quarterly Interval Fund - Plan D -Growth,,
107201,SBI DEBT FUND SERIES 90D-19 (4/12/07) - GROWTH,,
107204,Birla Sun Life Interval Income Fund - Monthly Plan - Series II - INSTITUTIONAL GROWTH,,
107205,Birla Sun Life Interval Income Fund - Monthly Plan - Series II - RETAIL GROWTH,,
107207,"UTI Fixed Maturity Plan Quarterly Plan December, 2007 Series I - Growth Option",,
107212,Kotak Quarterly Interval Plan Series 4 - Growth,,
107214,HSBC Interval Fund - Plan II Inst. - Growth,,
107216,HSBC Interval Fund - Plan II - Regular - Growth,,
107219,ING Fixed Maturity Fund - Series XXXVII - Institutional Plan - Growth Option,,
107222,ING Fixed Maturity Fund - Series XXXVII - Retail Plan - Growth Option,,
107223,ICICI Prudential Interval Fund II - Quarterly Interval Plan E - Retail Growth,,
107227,UTI Fixed Income Interval Fund ( Half Yearly Plan-II)- Instn. Growth Option,,
107228,UTI Fixed Income Interval Fund ( Half Yearly Plan-II)- Regular Plan - Growth Option,,
107231,HSBC Fixed Term Series 41 - Inst. - Growth,,
107232,HSBC Fixed Term Series 41 - Regular - Growth,,
107233,Sahara Classic Fund- Growth Option,,
107236,REDEEMED-SBI DEBT FUND SERIES - 13 MONTHS - 6 (14/12/07) RETAIL GROWTH,,
107238,REDEEMED-SBI DEBT FUND SERIES - 13 MONTHS - 6 (14/12/07) INSTITUTIONAL GROWTH,,
107240,Religare Quarterly Interval Fund - Plan E -Growth,,
107242,Birla Sun Life Quarterly Interval Fund- Series 3 - GROWTH,,
107244,Kotak FMP 17M Series 1 Retail - Growth,,
107245,Kotak FMP 17M Series 1 Institutional- Growth,,
107247,Franklin India Ultra Short Bond Fund - Retail - Growth,,
107248,Franklin India Ultra Short Bond Fund - Institutional - Growth,,
107249,Franklin India Ultra Short Bond Fund - Super Institutional - Growth,,
107258,ICICI Prudential FMP series 39 - 16 Weeks Plan A - Retail Growth Option,,
107259,HDFC FMP 90D DECEMBER 2007 - RETAIL PLAN GROWTH OPTION,,
107261,HDFC FMP 90D DECEMBER 2007 - WHOLESALE PLAN GROWTH OPTION,,
107263,HDFC FMP 18M DECEMBER 2007 WHOLESALE PLAN - GROWTH OPTION,,
107265,HDFC FMP 18M DECEMBER 2007 RETAIL PLAN - GROWTH OPTION,,
107269,HDFC FMP 181D DECEMBER 2007 - RETAIL PLAN GROWTH OPTION,,
107274,Religare Quarterly Interval Fund - Plan F -Growth,,
107275,JM Interval Fund - Quarterly plan 1 (JM QIF - 1) - Regular plan - Growth option,,
107277,JM Interval Fund - Quarterly plan 1 (JM QIF - 1) - Institutional plan - Growth option,,
107281,Birla Sun Life Fixed Term Plan - Series AG - RETAIL GROWTH,,
107282,Birla Sun Life Fixed Term Plan - Series AG - INSTITUTIONAL GROWTH,,
107285,Birla Sun Life Fixed Term Plan - Series AH - RETAIL GROWTH,,
107286,Birla Sun Life Fixed Term Plan - Series AH - INSTITUTIONAL GROWTH,,
107288,JM ELSS Tax Saver Fund (Regular) - Growth option,INF192K01650,
107290,ICICI Prudential FMP series 41 - 16 Mths Plan - Institutional Growth Option,,
107291,ICICI Prudential FMP series 41 - 16 Mths Plan - Retail Growth Option,,
107294,DSP BlackRock FMP - 3M - Series 2 - Regular Plan - Growth,,
107296,DSP BlackRock FMP - 3M - Series 2 - Institutional Plan - Growth,,
107297,DSP BlackRock FMP - 15M - Series 1 - Regular Plan - Growth,,
107300,DSP BlackRock FMP - 15M - Series 1 - Institutional Plan - Growth,,
107301,JPMorgan India Mid and Small Cap Fund - Regular Plan - Growth Option,,
107303,DWS FIXED TERM FUND SERIES 39 GROWTH OPTION,,
107305,DWS FIXED TERM FUND SERIES 39 - INSTITUTIONAL GROWTH,,
107307,Aditya Birla Sun Life Quarterly Interval Fund - Series 4 GROWTH,,
107310,ICICI Prudential Interval Fund II - Quarterly Interval Plan F - Retail Growth,,
107313,Reliance Fixed Horizon Fund VI Series 1-Retail Plan-Growth Option,,
107314,Reliance Fixed Horizon Fund VI Series 1- Institutional Plan- Growth Option,,
107318,Reliance Fixed Horizon Fund IV Series 8-Retail Plan-Growth Option,,
107320,Reliance Fixed Horizon Fund IV Series 8- Institutional Plan- Growth Option,,
107322,ICICI Prudential FMP series 42 - 13 Mths Plan B - Institutional Growth Option,,
107324,ICICI Prudential FMP series 42 - 13 Mths Plan B - Retail Growth Option,,
107328,Principal Ultra Short Term Fund-Growth Option,,
107331,Principal Money Manager Fund-Regular Plan-Growth Option,,
107334,LICMF FIXED MATURITY PLAN SERIES 34 - GROWTH OPTION,,
107336,LICMF FIXED MATURITY PLAN SERIES 38 - GROWTH OPTION,,
107338,LIC NOMURA MF TOP 100 FUND - GROWTH OPTION,,
107341,ING Global Real Estate Fund - Retail Plan Growth Option,,
107344,JM Fixed Maturity Fund - Series VII - 15 Months plan 1 (JM FMF - VII - 15M1) - Regular plan - Growth option,,
107345,JM Fixed Maturity Fund - Series VII - 15 Months plan 1 (JM FMF - VII - 15M1) - Institutional plan - Growth option,,
107347,JM Interval Fund - Quarterly plan 2 (JM QIF - 2) - Regular plan - Growth option,,
107348,JM Interval Fund - Quarterly plan 2 (JM QIF - 2) - Institutional plan - Growth option,,
107351,Sundaram Energy Opportunities Fund Growth,,
107353,Invesco India Multicap Fund - Regular Plan - Growth Option,INF205K01DN2,
107356,ICICI Prudential FMP series 42 - 13 Mths Plan C - Retail Growth Option,,
107358,ICICI Prudential FMP series 42 - 13 Mths Plan C - Institutional Growth Option,,
107364,AMRO Interval Fund - Quarterly Plan K - Growth Option - Automatic Redemption,,
107366,AMRO Interval Fund - Quarterly Plan K - Growth Option - Automatic Renewal,,
107371,ICICI Prudential FMP series 39 - 3 Mths Plan B - Retail Growth Option,,
107373,ICICI Prudential FMP series 39 - 3 Mths Plan C - Retail Growth Option,,
107374,ICICI Prudential Fusion Fund Series-III - Institutional Growth Plan,,
107376,ICICI Prudential Fusion Fund Series-III - Retail Growth Plan,,
107383,Birla Sun Life Quarterly Interval Fund - Series 5 GROWTH,,
107385,ICICI Prudential FMP series 42 - 16 Mths Plan - Institutional Growth Option,,
107386,ICICI Prudential FMP series 42 - 16 Mths Plan - Retail Growth Option,,
107390,Religare FMP-15M-Sr-II-Retail-Growth,,
107392,Religare FMP-15M-Sr-II-Institutional-Growth,,
107394,Kotak Indo World Infrastructure Fund  - Growth,,
107397,Kotak FMP 16M Series 2 Institutional Plan - Growth,,
107398,Kotak FMP 16M Series 2 Retail Plan - Growth,,
107405,PineBridge Infrastructure & Economic Reform Fund - Standard Plan-Growth,,
107406,PineBridge Infrastructure & Economic Reform Fund - Institutional Plan-Growth,,
107410,JM Focused Fund (Regular) - Growth Option,INF192K01577,
107411,Religare FMP-3M-Sr-XXII-Growth,,
107413,UTI Fixed Term Income Fund Jan 2008-Plan 1 (15 Months) - Growth Option,,
107414,UTI Fixed Term Income Fund Jan 2008-Plan 1 (15 Months) - Instn Growth Option,,
107419,AMRO Interval Fund - Quarterly Plan L - Growth Option - Automatic Redemption,,
107422,AMRO Interval Fund - Quarterly Plan L - Growth Option - Automatic Renewal,,
107426,Reliance Fixed Horizon Fund - VII - Series 1-Retail Plan-Growth Option,,
107427,Reliance Fixed Horizon Fund - VII - Series 1-Institutional Plan-Growth Option,,
107430,Birla Sun Life Quarterly Interval Fund - Series 6 GROWTH,,
107432,UTI - Infrastructure Advantage Fund - Growth Option,,
107433,Canara Robeco Interval Scheme- Monthly Interval Fund- Retail  Plan- Growth Option,,
107436,Canara Robeco Interval Scheme- Monthly Interval Fund- Institutional Plan- Growth Option,,
107439,Canara Robeco Interval Scheme- Quarterly Interval Fund- Retail Plan- Growth Option,,
107444,Canara Robeco Interval Scheme- Quarterly Interval Fund- Institutional Plan- Growth Option,,
107448,ABN AMRO FIXED TERM PLAN - SERIES 10 -  PLAN B - Instl Plan - Growth Option.,,
107452,ABN AMRO FIXED TERM PLAN - SERIES 10 -  PLAN B - Regular Plan - Growth Option.,,
107458,Religare FMP-3M-Sr-XXIII-Growth,,
107459,Tata Fixed Investment Plan - 1 Scheme A - Regular Plan - Growth,,
107461,Tata Fixed Investment Plan - 1 Scheme A - Institutional Plan - Growth,,
107475,Religare Invesco GILT Fund - Long Duration Plan - Institutional-Growth,,
107477,Invesco India Gilt Fund - Regular Plan - Growth,INF205K01SR1,
107481,Religare Invesco GILT Fund - Short Duration Plan - Growth,,
107484,Religare Invesco GILT Fund - Short Duration Plan - Institutional - Growth,,
107485,Kotak Quarterly Interval Plan Series 5-Growth,,
107488,Religare FMP-14M-Sr-II - Institutional Growth,,
107490,Religare FMP-14M-Sr- II - Retail Growth,,
107494,Religare FMP-15M-Sr-III-Retail-Growth,,
107496,LICMF FIXED MATURITY PLAN SERIES 35 - GROWTH OPTION,,
107498,uti - Investment Bond Fund - Growth Option,,
107500,Birla Sun Life Quarterly Interval Fund - Series 7 GROWTH,,
107502,UTI Fixed Term Income Fund Jan 2008-Plan II (15 Months) - Growth Option,,
107503,UTI Fixed Term Income Fund Jan 2008-Plan II (15 Months) - Institutional Growth Option,,
107504,Aditya Birla Sun Life Special Situations Fund - Growth,,
107506,Birla Sun Life Fixed Term Plan - Series AJ - Retail Growth,,
107507,Birla Sun Life Fixed Term Plan - Series AJ - Institutional Growth,,
107514,HDFC FMP 18M JANUARY 2008 WHOLESALE PLAN - GROWTH OPTION,,
107515,HDFC FMP 18M JANUARY 2008 RETAIL PLAN - GROWTH OPTION,,
107521,HDFC FMP 90D JANUARY 2008 - RETAIL PLAN GROWTH OPTION,,
107522,HDFC FMP 90D JANUARY 2008 - WHOLESALE PLAN GROWTH OPTION,,
107524,HDFC Infrastructure Fund - Growth Plan,INF179K01GF8,
107526,JM Interval Fund - Quarterly plan 3 (JM QIF - 3) - Regular plan - Growth option,,
107528,JM Interval Fund - Quarterly plan 3 (JM QIF - 3) - Institutional plan - Growth option,,
107530,JM Interval Fund - Quarterly plan 4 (JM QIF - 4) - Regular plan - Growth option,,
107533,JM Interval Fund - Quarterly plan 4 (JM QIF - 4) - Institutional plan - Growth option,,
107534,JM Interval Fund - Quarterly plan 5 (JM QIF - 5) - Regular plan - Growth option,,
107536,JM Interval Fund - Quarterly plan 5 (JM QIF - 5) - Institutional plan - Growth option,,
107538,JM Interval Fund - Quarterly plan 6 (JM QIF - 6) - Regular plan - Growth option,,
107539,JM Interval Fund - Quarterly plan 6 (JM QIF - 6) - Institutional plan - Growth option,,
107542,HSBC Fixed Term Series 42 - Regular - Growth,,
107545,HSBC Fixed Term Series 42 - Inst. - Growth,,
107551,Religare FMP-3M-Sr-XXIV-Growth,,
107552,Birla Sun Life Quarterly Interval Fund - Series 8 - GROWTH,,
107567,Religare FMP-375 days-Sr-VII - Retail Growth,,
107569,Religare FMP-375 days-Sr-VII - Institutional Growth,,
107571,Religare FMP-13M-Sr-IV - Institutional Growth,,
107572,Religare FMP-13M-Sr-IV - Retail Growth,,
107574,Religare FMP-14M-Sr- III - Retail Growth,,
107576,Religare FMP-14M-Sr-III - Institutional Growth,,
107578,Mirae Asset Large Cap Fund - Growth Plan,INF769K01010,
107590,Reliance Diversified Power Sector Fund Institutional Plan Growth Plan Growth Option,,
107591,Reliance Diversified Power Sector Fund Institutional Plan Growth Plan Bonus Option,,
107594,Standard Chartered FMP - QS25 Plan-A-Growth,,
107597,Birla Sun Life Fixed Term Plan - Series AK RETAIL GROWTH,,
107598,Birla Sun Life Fixed Term Plan - Series AK INSTITUTIONAL GROWTH,,
107599,Sahara FMP 395 Days Series 2 - Growth,,
107601,ICICI Prudential FMP series 41 - 14 Mths Plan - Institutional Growth Option,,
107603,ICICI Prudential FMP series 41 - 14 Mths Plan - Retail Growth Option,,
107606,Sahara FMP 395 Days Series 3- Growth,,
107608,Sahara FMP 3 Months-Series 3 Growth,,
107610,Sahara FMP 3 Months Series 4 Growth,,
107612,Religare FMP-3M-Sr-XXV-Growth,,
107617,Tata Fixed Horizon Fund Series 17 Scheme D - Regular Plan - Growth,,
107620,Tata Fixed Horizon Fund Series 17 Scheme D - Institutional Plan - Growth,,
107623,Tata Growing Economies Infrastructure Fund Scheme A  Plan A - Growth,,
107625,Tata Growing Economies Infrastructure Fund Scheme B Plan A - Growth,,
107627,Reliance Fixed Horizon Fund - VI - Series 2-Retail Plan-Growth Option,,
107630,Reliance Fixed Horizon Fund - VI - Series 2-Institutional Plan-Growth Option,,
107632,Kotak Quarterly Interval Plan Series 6 - Growth,,
107634,Religare FMP-3M-Sr-XXVI-Growth,,
107635,Reliance Natural Resources Fund-Growth Plan-Bonus Option,,
107636,Reliance Natural Resources Fund-Growth Plan-Growth Option,,
107638,ING Fixed Maturity Fund - Series 41 - Retail Plan - Growth Option,,
107640,ING Fixed Maturity Fund - Series 41 - Institutional Plan - Growth Option,,
107642,Reliance Fixed Horizon Fund - VII - Series 2-Retail Plan-Growth Option,,
107645,Reliance Fixed Horizon Fund - VII - Series 2-Institutional Plan-Growth Option,,
107648,Mirae Asset Liquid Fund- Regular Plan - Growth,,
107651,ICICI Prudential FMP series 41 - 15 Mths Plan - Institutional Growth Option,,
107652,ICICI Prudential FMP series 41 - 15 Mths Plan - Retail Growth Option,,
107655,ICICI Prudential FMP series 42 - 3 Mths Plan A - Retail Growth Option,,
107659,Mirae Asset Liquid Fund- Institutional Plan - Growth,,
107662,HDFC FMP 15M FEBRUARY 2008 WHOLESALE PLAN - GROWTH OPTION,,
107666,HDFC FMP 15M FEBRUARY 2008 RETAIL PLAN - GROWTH OPTION,,
107668,HDFC FMP 90D FEBRUARY 2008 - WHOLESALE PLAN GROWTH OPTION,,
107670,HDFC FMP 90D FEBRUARY 2008 - RETAIL PLAN GROWTH OPTION,,
107672,Mirae Asset Liquid Fund- Super Institutional Plan - Growth,,
107679,UTI Fixed Maturity Plan Quarterly February '08 Series I - Growth Option,,
107681,UTI Fixed Maturity Plan Quarterly February '08 Series I - Institutional Growth Option,,
107683,Reliance Fixed Horizon Fund - VII - Series 3-Retail Plan-Growth Option,,
107686,Reliance Fixed Horizon Fund - VII - Series 3-Institutional Plan-Growth Option,,
107688,Birla Sun Life Fixed Term Plan - Series AL  INSTITUTIONAL GROWTH,,
107689,Birla Sun Life Fixed Term Plan - Series AL  RETAIL GROWTH,,
107691,Standard Chartered FMP - QS26 Plan-A-Growth,,
107695,Mirae Asset Savings Fund-Regular Plan- Growth,,
107705,Mirae Asset Low Duration Fund - Regular Plan - Growth,INF769K01937,
107706,Mirae Asset Savings Bond Fund-Regular Super Savings Plan- Growth,,
107713,Principal Pnb Fixed Maturity Plan - 91 days Series XIII Growth Option,,
107715,PineBridge India Short Term Fund-Retail Plan-Growth Option,,
107718,PineBridge India Short Term Fund- Standard Plan-Growth Option,,
107723,DSP BlackRock FMP - 15M - Series 2 - Regular Plan - Growth,,
107726,DSP BlackRock FMP - 15M - Series 2 - Institutional Plan - Growth,,
107727,DSP BlackRock FMP - 3M - Series 3 - Regular Plan - Growth,,
107730,DSP BlackRock FMP - 3M - Series 3 - Institutional Plan - Growth,,
107731,ING Fixed Maturity Fund - Series 42 - Retail Plan - Growth Option,,
107732,ING Fixed Maturity Fund - Series 42 - Institutional Plan - Growth Option,,
107736,HDFC FMP 90D FEBRUARY 2008(2) - WHOLESALE PLAN GROWTH OPTION,,
107738,HDFC FMP 90D FEBRUARY 2008(2) - RETAIL PLAN GROWTH OPTION,,
107739,HDFC FMP 14M FEBRUARY 2008 WHOLESALE PLAN - GROWTH OPTION,,
107743,HDFC FMP 14M FEBRUARY 2008 RETAIL PLAN - GROWTH OPTION,,
107745,Aditya Birla Sun Life ELSS Tax Saver Fund - Growth Option,INF209K01108,
107747,SBI DEBT FUND SERIES-90D-20-(26/02/08)-GROWTH,,
107749,UTI Fixed Maturity Plan Quarterly Feb 2008 - Series II - Instn. Growth Option,,
107750,UTI Fixed Maturity Plan Quarterly Feb 2008 - Series II - Growth Option,,
107752,UTI Fixed Term Income Fund S-IV - P-III(14 Mths) - Growth Option,,
107753,UTI Fixed Term Income Fund S-IV - P-III (14 Mths) - Instn. Growth Option,,
107755,Templeton Fixed Horizon Fund - Series VII - Plan A - Retail Plan - Growth,,
107760,Templeton Fixed Horizon Fund - Series VII - Plan B - Retail Plan - Growth,,
107763,LIC MF Infrastructure Fund-Regular Plan-Growth,INF767K01501,
107773,Invesco India AGILE Tax Fund - Growth Option,,
107777,ING Fixed Maturity Fund - Series XXXV - Retail Plan - Growth Option,,
107779,ING Fixed Maturity Fund - Series XXXV - Institutional Plan - Growth Option,,
107782,Kotak FMP 14M Series 3 Institutional Plan - Growth,,
107783,Kotak FMP 14M Series 3 Retail Plan - Growth,,
107785,ING OptiMix Active Short Term Fund- Retail Plan - Growth Option,,
107788,ABN AMRO FIXED TERM PLAN - SERIES 10 -  PLAN E - Instl Plan - Growth Option,,
107797,ABN AMRO FIXED TERM PLAN - SERIES 10 -  PLAN E - Regular Plan - Growth Option,,
107799,Standard Chartered Fixed Maturity Plan - YS17-Plan B - Growth,,
107800,Standard Chartered Fixed Maturity Plan - YS17-Plan A - Growth,,
107802,Religare FMP-13M-Sr-V - Institutional Growth,,
107803,Religare FMP-13M-Sr-V - Retail Growth,,
107806,HDFC FMP 90D MARCH 2008 - RETAIL PLAN GROWTH OPTION,,
107808,HDFC FMP 90D MARCH 2008 - WHOLESALE PLAN GROWTH OPTION,,
107811,HDFC FMP 13M MARCH 2008 RETAIL PLAN - GROWTH OPTION,,
107813,HDFC FMP 13M MARCH 2008 WHOLESALE PLAN - GROWTH OPTION,,
107817,Principal Pnb Fixed Maturity Plan - 460 Days - Series IV - Regular Plan - Growth Option,,
107818,Principal Pnb Fixed Maturity Plan - 460 Days - Series IV - Insti Plan - Growth Option,,
107820,DWS Ultra Short Term Fund - Regular Plan - Growth,,
107827,SCSMEF A-GROWTH,,
107833,Religare FMP-1M-Sr-VII-Growth,,
107836,UTI FMP Yearly February 2008- Growth Option,,
107838,JM Fixed Maturity Fund - Series IX - 15 Months plan (JM FMF - IX - 15M) - Regular plan - Growth option,,
107840,JM Fixed Maturity Fund - Series IX - 15 Months plan (JM FMF - IX - 15M) - Institutional plan - Growth option,,
107848,Standard Chartered FMP - QS27 Plan-A-Growth,,
107861,SBI DEBT FUND SERIES-90D-21-(04-MAR-2008)-GROWTH,,
107862,HDFC FMP 90D MARCH 2008 (2) - RETAIL PLAN GROWTH OPTION,,
107865,HDFC FMP 90D MARCH 2008 (2) - WHOLESALE PLAN GROWTH OPTION,,
107868,HDFC FMP 13M MARCH 2008 (2) WHOLESALE PLAN - GROWTH OPTION,,
107871,HDFC FMP 13M MARCH 2008 (2) RETAIL PLAN - GROWTH OPTION,,
107872,Standard Chartered Fixed Maturity Plan - YS19-Plan A - Growth,,
107875,Standard Chartered Fixed Maturity Plan - YS19-Plan B - Growth,,
107877,Birla Sun Life Quarterly Interval Fund - Series 9 GROWTH,,
107880,Birla Sun Life Fixed Term Plan - Series AM  INSTITUTIONAL GROWTH,,
107881,Birla Sun Life Fixed Term Plan - Series AM  RETAIL GROWTH,,
107882,Birla Sun Life Fixed Term Plan - Series AN  INSTITUTIONAL GROWTH,,
107883,Birla Sun Life Fixed Term Plan - Series AN  RETAIL GROWTH,,
107887,SBI DEBT FUND SERIES-30D-1-(11/3/08)-GROWTH,,
107888,HSBC Fixed Term Series 44 - Inst. - Growth,,
107891,HSBC Fixed Term Series 44 - Regular - Growth,,
107892,Templeton Fixed Horizon Fund - Series VII - Plan C - Institutional Plan - Growth,,
107897,SBI DEBT FUND SERIES-13M-7 (18/03/08) RETAIL GROWTH,,
107898,SBI DEBT FUND SERIES-13M-7 (18/03/08) INSTITUTIONAL GROWTH,,
107901,Reliance Equity Linked Saving Fund - Series I - Growth Plan,,
107903,Reliance Fixed Horizon Fund - VII - Series 4-Retail Plan-Growth Option,,
107905,Reliance Fixed Horizon Fund - VII - Series 4-Institutional Plan-Growth Option,,
107906,ABN AMRO FIXED TERM PLAN - SERIES 10 -  PLAN F - Regular Plan - Growth Option,,
107912,ABN AMRO FIXED TERM PLAN - SERIES 10 -  PLAN F - Instl Plan - Growth Option,,
107919,UTI Fixed Maturity Plan -Quarterly Mar 2008 Sr.1 - Growth Option,,
107921,UTI Fixed Maturity Plan -Quarterly Mar 2008 Sr.1 - Instn. Growth Option,,
107922,ING Long Term FMP - I - Retail Plan- Growth Option,,
107924,ING Long Term FMP - I - Institutional Plan- Growth Option,,
107928,ICICI Prudential FMP series 43 - 13 Mths Plan A - Retail Growth Option,,
107931,ICICI Prudential FMP series 43 - 13 Mths Plan A - Institutional Growth Option,,
107932,Reliance Fixed Horizon Fund - VII - Series 5-Retail Plan-Growth Option,,
107935,Reliance Fixed Horizon Fund - VII - Series 5-Institutional Plan-Growth Option,,
107936,Reliance Fixed Horizon Fund - IX - Series 1 - Retail Plan-Growth Option,,
107938,Reliance Fixed Horizon Fund - IX - Series 1 - Institutional Plan-Growth Option,,
107940,Reliance Fixed Horizon Fund - IX - Series 5 - Retail Plan-Growth Option,,
107943,Reliance Fixed Horizon Fund - IX - Series 5 - Institutional Plan-Growth Option,,
107944,Reliance Fixed Horizon Fund - IX - Series 9 - Retail Plan-Growth Option,,
107946,Reliance Fixed Horizon Fund - IX - Series 9 - Institutional Plan-Growth Option,,
107956,DWS FIXED TERM FUND SERIES 46 - INSTITUTIONAL PLAN- GROWTH OPTION,,
107957,DWS FIXED TERM FUND SERIES 46 - REGULAR PLAN- GROWTH OPTION,,
107959,DWS FIXED TERM FUND SERIES 43- REGULAR PLAN GROWTH OPTION,,
107960,DWS FIXED TERM FUND SERIES 43- INSTITUTIONAL PLAN GROWTH OPTION,,
107962,ICICI Prudential FMP series 42 - 3 Mths Plan B - Retail Growth Option,,
107964,ICICI Prudential FMP series 43 - 13 Mths Plan B - Institutional Growth Option,,
107967,ICICI Prudential FMP series 43 - 13 Mths Plan B - Retail Growth Option,,
107969,ICICI Prudential FMP series 43 - 13 Mths Plan C - Institutional Growth Option,,
107971,ICICI Prudential FMP series 43 - 13 Mths Plan C - Retail Growth Option,,
107972,Religare FMP-375 days-Sr-VIII - Institutional Growth,,
107974,Religare FMP-375 days-Sr-VIII - Retail Growth,,
107976,ABN AMRO FIXED TERM PLAN - SERIES 11 -  PLAN A - Regular Plan - Growth Option,,
107981,ABN AMRO FIXED TERM PLAN - SERIES 11 -  PLAN A - Instl Plan - Growth Option,,
107988,HSBC Global Emerging Markets Fund - Growth,INF336L01446,
107991,UTI Fixed Maturity Plan - Half Yearly March 08- Instn. Growth Option,,
107993,UTI Fixed Maturity Plan - Half Yearly March 08- Growth Option,,
107994,Reliance Fixed Horizon Fund - VI - Series 3 - Retail Plan-Growth Option,,
107997,Reliance Fixed Horizon Fund - VI - Series 3 - Institutional Plan-Growth Option,,
107999,ING Global Real Estate Fund - Institutional Plan Growth Option,,
108001,Templeton Fixed Horizon Fund - Series VII - Plan D - Institutional Plan - Growth,,
108003,Templeton Fixed Horizon Fund - Series VII - Plan D - Retail Plan - Growth,,
108005,HDFC FMP 370D MARCH 2008 (2) RETAIL PLAN - GROWTH OPTION,,
108010,HDFC FMP 370D MARCH 2008 (2) WHOLESALE PLAN - GROWTH OPTION,,
108012,HDFC FMP 370D MARCH 2008 (1) WHOLESALE PLAN - GROWTH OPTION,,
108017,HDFC FMP 370D MARCH 2008 (1) RETAIL PLAN - GROWTH OPTION,,
108018,Kotak FMP 3M Series 27 - Growth,,
108021,Kotak FMP 3M Series 28 - Growth,,
108023,Kotak FMP 14M Series 4 - Institutional - Growth,,
108025,Kotak FMP 14M Series 4 - Retail - Growth,,
108026,JM Fixed Maturity Fund - Series XI - 13 Months plan 1 (JM FMF - XI - 13M1) - Regular plan - Growth option,,
108028,JM Fixed Maturity Fund - Series XI - 13 Months plan 1 (JM FMF - XI - 13M1) - Institutional plan - Growth option,,
108031,HSBC Interval Fund - Plan III Inst. - Growth,,
108033,HSBC Interval Fund - Plan III - Regular - Growth,,
108034,ICICI Prudential FMP series 43 - 3 Mths Plus Plan - Retail Growth Option,,
108037,ICICI Prudential FMP series 42 - 3 Mths Plan C - Retail Growth Option,,
108038,Religare FMP-1M-Sr-VIII-Growth,,
108041,Reliance Fixed Horizon Fund - VII - Series 6 - Retail Plan-Growth Option,,
108043,Reliance Fixed Horizon Fund - VII - Series 6 - Institutional Plan-Growth Option,,
108044,HDFC FMP 90D MARCH 2008 (3) - RETAIL PLAN GROWTH OPTION,,
