schemeCode,schemeName,isinGrowth,isinDivReinvestment
100499,Franklin India Dynamic Accrual Fund-Growth,,
100501,Templeton India Liquid Fund-Growth,,
100506,Templeton Monthly Income Plan-Growth,,
100520,Franklin India Flexi Cap Fund - Growth,INF090I01239,
100522,Franklin India Technology Fund-Growth,INF090I01742,
100523,Franklin FMCG Fund - Growth,,
100526,Franklin India ELSS Tax Saver Fund-Growth,INF090I01775,
100528,Franklin India Corporate Debt Fund - Growth,INF090I01DG6,
100536,Franklin India Retirement Fund - Growth,INF090I01510,
100538,Franklin India Liquid Fund - Regular Plan - Growth,INF090I01BB1,
100544,Franklin India Liquid Fund - Liquid Plan - Growth,,
100546,Franklin India Liquid Fund - Super Institutional Plan - Growth,INF090I01BG0,
100550,Franklin India Aggressive Hybrid Fund - Growth Plan,INF090I01817,
100552,Templeton India Children’s Asset Plan-Gift Plan - Growth,,
100590,Canara Robeco Expo-Growth Plan,,
100597,CANARA ROBECO GILT FUND - REGULAR PLAN - GROWTH OPTION,INF760K01AE1,
100601,CANARA ROBECO CONSERVATIVE HYBRID FUND - REGULAR PLAN - GROWTH OPTION,INF760K01282,
100603,Sundaram Medium Duration Fund (Formerly Known as Sundaram Medium Term Bond Fund) Regular Plan - Growth,INF903J01FQ2,
100608,Sundaram Medium Duration Fund (Formerly Known as Sundaram Medium Term Bond Fund) Institutional Plan - Growth,INF903J01FY6,
100612,Sundaram Growth Fund-Dividend,,
100613,Sundaram Growth Fund-Growth,,
100617,Sundaram Equity Hybrid Fund Regular Plan - Growth,,
100618,Sundaram Money Fund Retail Plan - Growth,,
100631,quant Multi Cap Fund-GROWTH OPTION - Regular Plan,INF966L01234,
100639,SBI Medium to Long Duration Fund-REGULAR PLAN-Growth,INF200K01594,
100641,SBI ULTRA SHORT DURATION FUND - REGULAR PLAN - GROWTH,INF200K01LJ4,
100651,UTI Large Cap Fund - Regular Plan - Growth Option,INF789F01976,
100656,UTI - Master Plus Unit Scheme-Growth Option,,
100664,UTI Large & Mid Cap Fund - Regular Plan - Growth Option,INF789F01869,
100669,UTI - Flexi Cap Fund-Growth Option,INF789F01513,
100676,Benchmark Derivative Fund - Growth Plan,,
100684,UTI Aggressive Hybrid Fund - Regular Plan - Growth,INF789F01323,
100712,UTI - INDEX SELECT FUND-Growth Option,,
100713,Grindays Fixed Maturity - 5th Plan-A-Growth,,
100723,UTI MMF-Discontinued - Regular Plan -Growth,INF789F01BF5,
100740,UTI - MNC Fund - Regular Plan - Growth Option,INF789F01844,
100741,UTI Medium to Long Duration Fund- Regular Plan - Growth,INF789F01406,
100749,UTI - Master Index Fund-Growth Option,,
100751,UTI - Master Value Fund-Growth Option,,
100781,Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Retail Plan - Growth,,
100784,Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Regular Plan - Growth,INF903J01IN3,
100789,Sundaram Corporate Bond Fund Regular Plan- Growth,INF903J01HW6,
100792,Sundaram Corporate Bond Fund Institutional - Growth,,
100795,Sundaram Small Cap Fund Regular Plan - Growth,INF903J01470,
100796,Sahara Midcap Fund-Growth Plan,,
100800,UTI Growth Sector Funds-UTI - GSF - Brand Value-Income Option,,
100801,UTI Growth Sector Funds-UTI - GSF - Brand Value-Growth Option,,
100802,UTI Software Fund-Growth Option,,
100805,UTI Energy Fund-Growth Option,,
100807,UTI Healthcare Fund - Regular Plan - Growth Option,INF789F01695,
100809,UTI Services Industries Fund-Growth Option,,
100812,UTI - G-Sec Fund-Growth,,
100814,UTI - Overnight  Fund - Regular Plan - Growth Option,INF789F01604,
100821,UTI ELSS Tax Saver Fund - Regular Plan - Growth Option,INF789F01547,
100822,UTI Nifty 50 Index Fund - Regular Plan - Growth Option,INF789F01JN2,
100829,Kotak Liquid-Regular (Growth),,
100830,Kotak Liquid-Institutional Plan  (Growth),,
100835,Kotak Liquid Fund - Regular Plan - Growth,INF174K01NI9,
100837,Nippon India Liquid Fund - Retail Option - Growth Plan,INF204K01UL3,
100845,Reliance Liquid Fund-Cash Plan-Growth Plan,,
100847,Reliance Liquid Fund-Cash Plan-Bonus Plan (Growth),,
100851,Nippon India Liquid Fund -Growth Plan,INF204K01UN9,
100856,Nippon India Corporate Bond Fund - Growth Plan - Growth Option,INF204K01EF9,
100859,Nippon India Corporate Bond Fund - Growth Plan - Bonus Option,INF204KA12N8,
100865,LIC MF ELSS Tax Saver-Regular Plan-Growth,INF767K01956,
100868,HDFC Liquid Fund - Growth Plan,INF179KB1HK0,
100872,HDFC Liquid Fund-PREMIUM PLUS- Growth,,
100873,HDFC Liquid Fund-PREMIUM- Growth,,
100888,Principal Cash Management-Liquid Option-Growth Plan,,
100893,Principal Cash Management-Liquid Option-Institutional - Growth Plan,,
100898,Principal Cash Management Fund -Growth Option,,
100900,HDFC Childrens Fund - Growth Plan,INF179KC1IY8,
100902,Franklin Pharma Fund - Growth,,
100940,DSP BlackRock Liquidity Fund - Regular Plan - Growth,,
100948,Franklin India Conservative Hybrid Fund - Growth,INF090I01EA7,
100952,ICICI Prudential MIP - Growth,,
100962,Principal Income Fund-Growth Plan-growth,,
100963,Principal Dynamic Bond Fund - Growth Option,,
100966,Principal Multi Cap Growth Fund- Half Yearly Income Distribution CUM Capital Withdrawal Option,,
100967,Principal Multi Cap Growth Fund-Growth Option,,
100968,SBI Conservative Hybrid Fund - Regular Plan - Growth,INF200K01859,
100970,Aditya Birla Sun Life MIP - Regular Plan - Growth,,
100998,HDFC Long Term Advantage Plan - Growth Plan,,
101000,Tata Life Sciences & Technology Fund - Growth,,
101001,SBI GILT FUND - REGULAR PLAN - GROWTH,INF200K01982,
101002,SBI CONSTANT MATURITY 10 Year GILT FUND - REGULAR PLAN - GROWTH,INF200K01AN9,
101042,Tata Gilt Securities Fund -Regular Plan- Growth Option,INF277K01519,
101048,Franklin India Floating Rate Fund - Growth Plan,INF090I01LM7,
101065,quant Mid Cap Fund - Growth Option - Regular Plan,INF966L01176,
101070,quant Aggressive Hybrid Fund - Growth Option - Regular Plan,INF966L01267,
101072,quant Multi Asset Allocation Fund-GROWTH OPTION - Regular Plan,INF966L01200,
101082,HDFC Gilt Fund-Short Term-Growth,,
101083,HDFC Gilt Fund - Growth Plan,INF179K01756,
101092,SUNDARAM GILT FUND (Growth. OPTION),,
101095,Taurus Gilt Fund-Growth,,
101099,Grindlays Cash Fund-Growth,,
101114,Taurus Short Term Income Fund- Regular Plan - Growth Option,,
101118,Principal Government Securities Fund-Growth,,
101120,Principal Gilt Fund-Savings-Growth,,
101122,Principal Gilt Fund-Provident-Growth,,
101131,DBS Chola Growth Fund-Quarterly Dividend,,
101132,DBS Chola Growth Fund-Cumulative,,
101144,ICICI Prudential Multi-Asset Fund - Growth,INF109K01761,
101154,BARODA INCOME FUND - Plan A - Growth Option,,
101160,SBI MAGNUM DEBT FUND SERIES - 60 DAYS - 2 - GROWTH,,
101161,Nippon India Multi Cap Fund-Growth Plan-Growth Option,INF204K01489,
101162,Nippon India Multi Cap Fund-Growth Plan-Bonus Option,INF204K01471,
101169,SBI Children's Fund - Savings Plan - REGULAR PLAN - GROWTH,INF200K01776,
101170,Sahara Gilt Fund-Growth,,
101173,ING Vysya Equity Fund-Growth Option,,
101185,LIC MF Liquid Fund-Regular Plan-Growth,INF767K01IS9,
101187,Baroda BNP Paribas GILT FUND - Regular Plan - Growth Option,INF955L01450,
101190,BOB GILT FUND-PF Plan (Growth),,
101199,LIC MF BSE Sensex Index Fund-Regular Plan-Growth,INF767K01139,
101201,LIC MF Nifty 50 Index Fund-Regular Plan-Growth,INF767K01162,
101203,LIC MF Index Fund-Sensex Advantage-Growth,,
101206,SBI OVERNIGHT FUND - REGULAR PLAN - GROWTH,INF200K01LQ9,
101208,UTI-Fixed Maturity Plan Yearly Series - July 2005-Growth Option,,
101209,Taurus Large Cap Fund - Regular Plan - Growth,INF044D01773,
101221,ICICI Prudential Money Market Fund Retail Growth (erstwhile Cash Option),,
101228,ICICI Prudential Multicap Fund - Growth,INF109K01613,
101231,ICICI Prudential Short Term Fund-Institutional Growth,,
101232,Franklin India Short-Term Income Plan-Growth,INF090I01304,
101244,Franklin India Short-Term Income Plan-Institutional Plan - Growth,INF090I01361,
101262,Nippon India Power & Infra Fund-Growth Plan -Growth Option,INF204K01AE0,
101263,Nippon India Power & Infra Fund-Growth Plan-Bonus Option,INF204K01AD2,
101265,Principal Hybrid Equity Fund-Growth,,
101271,LIC MF Children's Fund-Regular Plan-Growth,INF767K01048,
101279,Grindlays Dynamic Bond Fund - GDBF (Growth),,
101281,HDFC BSE Sensex Index Fund - Growth Plan,INF179K01LA9,
101288,ING Short Term Income Fund-Growth Option,,
101304,DSP Short Term Fund - Regular Plan - Growth,INF740K01656,
101314,Aditya Birla Sun Life Nifty 50 Index Fund - Growth - Regular Plan,INF209K01LB2,
101316,Aditya Birla Sun Life Savings Fund-Retail Growth,INF209K01MC8,
101317,Aditya Birla Sun Life Savings Fund - Growth - Regular Plan,INF209K01LZ1,
101333,FT India Gilt Fund-*Liquid Plan - Growth,,
101353,Templeton Floating Rate Income Fund-Short Term Plan-Growth Option,,
101354,Templeton Floating Rate Income Fund-Short Term Plan-Institutional Option - Growth,,
101357,Franklin India Money Market Fund - Growth Option,INF090I01CA1,
101358,Franklin India Savings Fund - Institutional Option - Growth,,
101362,Canara Robeco Liquid Fund- INSTITUTIONAL-Growth,,
101365,Canara Robeco Liquid Fund-Retail-Growth,,
101373,Kotak Bond Short Term Plan-(Growth),INF174K01ES7,
101394,Sahara Liquid Fund-Fixed Pricing - Growth option,,
101402,Sahara Liquid Fund-Variable Pricing - Growth option,,
101404,Sahara Income Fund-Growth,,
101405,ING Gilt Fund-Growth Option,,
101408,Baroda BNP Paribas LIQUID FUND- Defunct Plan -Growth Option,INF955L01575,
101421,JM Floater Short Term Fund - Growth Option,,
101430,HDFC Regular Savings Fund-GROWTH,,
101455,Grindlays Government Securities Fund - IP (Growth),,
101456,Grindlays Government Securities Fund - ST (Growth),,
101463,Principal Short Term Plan-Growth,,
101465,Principal Short Term Debt Fund- Growth Plan,,
101471,Tata Gilt Retirement Plan (28/2/2008) Growth,,
101481,HDFC Floating Rate Debt Fund - Retail Growth Option,,
101491,Tata Childrens Fund -Regular Plan-Growth Option,INF277K01AJ5,
101498,Principal Equity Savings Fund - Growth Option,,
101520,JM Short Term Fund - Regular Plan - Growth Option,,
101521,JM Short Term Fund - Growth Option,,
101525,HDFC Nifty 50 Index Fund - Growth Plan,INF179K01KZ8,
101528,Sahara Growth Fund-Growth,,
101529,Sahara Growth Fund-Dividend,,
101537,Sundaram Select Focus Regular Plan - Growth,,
101539,Sundaram Mid Cap Fund Regular Plan - Growth,INF903J01173,
101548,Tata Short Term Bond Fund -Regular Plan- Growth Option,INF277K01972,
101563,Sundaram Short Term Debt Fund Regular Plan - Growth,,
101576,Sahara Short Term Plan-Growth,,
101585,HDFC Equity Savings Fund - GROWTH PLAN,INF179K01AM7,
101588,CANARA ROBECO INCOME FUND - REGULAR PLAN - GROWTH OPTION,INF760K01324,
101592,Aditya Birla Sun Life MIDCAP Fund-Growth,INF209K01363,
101594,HSBC Large Cap Fund - Regular Growth,INF336L01016,
101597,HSBC Income Fund - Short Term - Inst. - Growth,,
101599,HSBC Short Duration Fund - Growth,,
101608,UTI - MIS-Growth,,
101619,ICICI Prudential Savings Fund - Growth,INF109K01746,
101624,UTI-FMP Yearly Series Sep05-GROWTH OPTION,,
101627,DWS Short Maturity Fund - Growth,,
101629,DWS Alpha Equity Fund - Growth,,
101630,Grindlays Floating Rate Fund - Growth,,
101635,DSP Large Cap Fund - Regular Plan - Growth,INF740K01243,
101643,ICICI Prudential Long Term Bond Fund-Institutional Option-Growth,,
101644,Reliance Gilt Securities Fund-Retail Plan - Long Term Plan-Growth,,
101648,Reliance Gilt Securities Fund-Retail Plan - Short Term Plan-Growth,,
101654,GSSIF-MT(Growth),,
101656,Franklin India Dynamic Asset Allocation Active Fund of Funds-Growth,INF090I01262,
101662,UTI - Variable Investment Scheme-Growth Option,,
101664,UTI - Unit Scheme 2002-Growth,,
101665,Nippon India Short Duration  Fund-Growth Plan,INF204K01FL4,
101671,HDFC Floating Rate Income Fund-Long Term Plan-GROWTH,,
101672,Tata Value Fund - Regular Plan -Growth Option,INF277K01451,
101685,HSBC Medium to Long Duration Fund - Regular Growth,INF336L01776,
101687,HSBC Income Fund - Investment - Inst. - Growth,,
101691,HSBC Cash Fund - Inst. - Growth,,
101696,HSBC Cash Fund - Regular - Growth,,
101699,HSBC Cash Fund - Growth,,
101703,Tata Medium Term Fund -Regular Plan - Growth Option,,
101704,Tata Medium Term Fund B - Growth Option,,
101712,Aditya Birla Sun Life MIP II - Savings 5 Plan - Monthly Growth /Payment,,
101713,Aditya Birla Sun Life MIP II - Saving 5 Plan - Growth - Regular Plan,,
101715,CANGROWTH PLUS,,
101719,DWS Insta Cash Plus Fund-Growth-GROWTH,,
101721,DWS Insta Cash Plus Fund-Institutional Plan-Growth,,
101732,DWS Premier Bond Fund - Growth,,
101734,Kotak 30-(Growth),,
101738,Aditya Birla Sun Life Dividend Yield Fund - Growth - Regular Plan,INF209K01405,
101742,DSP BlackRock Savings Manager Fund - Moderate-Growth,,
101750,ICICI Prudential Liquid Fund Retail Growth,,
101751,ICICI Prudential Liquid Institutional Fund - Growth,,
101758,ICICI Prudential Short Term Fund - Growth Option,INF109K01654,
101762,HDFC Flexi Cap Fund - Growth Plan,INF179K01608,
101764,HDFC Value Fund - Growth Plan,INF179K01426,
101766,Tata Infrastructure Fund-Regular Plan- Growth Option,INF277K01782,
101773,GFRF - Growth(Institutional Plan),,
101793,ICICI Prudential Floating Interest Fund Plan B - Growth,,
101795,ICICI Prudential Floating Interest Fund Plan A - Growth,,
101797,ICICI Prudential Savings Fund Plan C - Growth,,
101802,ICICI Prudential Floating Interest Fund - Growth,INF109K01AX1,
101806,JM Dynamic Bond Fund (Regular) - Growth Option,INF192K01700,
101808,JM Dynamic Debt Fund - Premium Plan - Growth Option,,
101818,Aditya Birla Sun Life Regular Savings Fund - Growth / Payment - Regular Plan,INF209K01751,
101824,Tata Large & Mid Cap Fund- Regular Plan - Growth Option,INF277K01428,
101830,LIC MF Low Duration Fund-Regular Plan-Growth,INF767K01AO5,
101837,DSP Credit Risk Fund - Regular Plan -Growth,INF740K01599,
101844,Aditya Birla Sun Life Short Term Fund - Growth - Regular Plan,INF209K01942,
101847,Tata Money Market Fund-Regular Plan - Growth Option,INF277K01LQ7,
101853,Sundaram Value Fund Regular Plan - Growth,INF903J01538,
101854,Reliance Fixed Maturity Fund - Series - II - Annual Plan Series-1-Growth Option,,
101858,Tata Liquid Retail Investment Plan - Growth,,
101860,Tata Liquid High Investment Plan - Growth,,
101862,Nippon India Banking & Financial Services Fund-Growth Plan-Growth Option,INF204K01927,
101863,Nippon India Banking & Financial Services Fund-Growth Plan-Bonus Option,INF204K01919,
101869,LIC MF Conservative Hybrid Fund-Regular Plan-Growth,INF767K01808,
101872,HDFC Dynamic Debt Fund - Growth Option,INF179K01848,
101876,HDFC Sovereign Gilt Fund - Savings Plan-Growth Option,,
101878,HDFC Sovereign Gilt Fund - Provident Plan-Growth Option,,
101883,Tata Gilt Securities Short Maturity Fund -Regular Plan-Growth,,
101893,Kotak Money Market Fund - (Growth),INF174K01NA6,
101906,Tata Equity Savings Fund -Regular Plan-Growth Option,INF277K01907,
101909,Tata Dynamic Bond Fund- Regular Plan - Growth Option,,
101910,Tata Dynamic Bond Fund B - Growth,,
101912,BARODA  HYBRID EQUITY FUND - Plan A - Growth Option,,
101922,CANARA ROBECO FLEXICAP FUND - REGULAR PLAN - GROWTH OPTION,INF760K01019,
101929,SBI Magnum Institutional Income Fund - Savings - Growth(Upto 22/03/07) Renamed as SBI Premier Liquid Fund,,
101932,SBI GILT FUND -  GROWTH - PF (Regular) Option,INF200K01AK5,
101933,SBI MAGNUM GILT FUND -  GROWTH - PF (Fixed Period - 2 Yrs) Option,,
101934,SBI GILT FUND -  GROWTH - PF (Fixed Period - 3 Yrs) Option,INF200K01AH1,
101945,Tata Gilt Retirement Plan- 28/2/25 Growth Option,,
101954,Kotak Income Plus-(Growth),,
101956,Tata Gilt Retirement Plan (28-2-13) Growth,,
101966,Tata Income Plus Fund - Option C Growth,,
101969,Birla Sun Life Floating Rate - Long Term - Retail - Growth,,
101971,Aditya Birla Sun Life Money Manager Fund - Retail Growth,INF209K01MJ3,
101976,Aditya Birla Sun Life Money Manager Fund - Growth,INF209K01RV7,
101977,HDFC Prudence Fund - Growth Option,,
101979,HDFC ELSS Tax saver - Growth Plan,INF179K01BB8,
101989,HDFC Medium Term Debt Fund - Growth Option,INF179K01913,
101991,HDFC Sovereign Gilt Fund - Investment Plan-Growth Option,,
101993,HDFC Money Market Fund - Growth Option,INF179KB1HR5,
101996,HDFC Overnight Fund - Growth Option,INF179KB1HS3,
102000,HDFC Large Cap Fund - Growth Option - Regular Plan,INF179K01BE2,
102004,UTI-  Liquid Fund-Short Term Plan-Growth,,
102009,UTI-  Liquid Cash Plan- Discontinued - Regular Plan -Growth,INF789F1AG35,
102012,UTI-  Liquid Cash Plan - Regular Plan - Growth Option,INF789F1AF85,
102016,Tata Gilt High Fund - Growth,,
102020,Baroda BNP Paribas MULTI CAP FUND - Regular Plan - Growth Option,INF955L01674,
102027,JM MIP FUND-Growth,,
102030,SBI MAGNUM DEBT FUND SERIES - 13 MONTHS - 2-GROWTH,,
102045,Tata Gilt Retirement Plan (28-2-10) Growth,,
102053,SBI MEDIUM DURATION FUND - REGULAR PLAN - GROWTH,INF200K01719,
102060,ICICI Prudential Gilt Fund Investment Plan PF Option - Growth,,
102061,SBI MAGNUM GILT FUND -  GROWTH - PF (Fixed Period - 1 Yr) Option,,
102062,Tata Gilt Retirement Plan (28-2-09) Growth,,
102066,HSBC Gilt Fund  - Growth,,
102067,Tata Gilt Retirement Plan (28-2-11) Growth,,
102069,Tata Gilt Retirement Plan (28-2--06) Growth,,
102070,Tata Gilt Retirement Plan (28-2-07) Growth,,
